,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,PAN_D,PRI_D,PRD_D,PVEM_D,PT_D,MC_D,NA_D,MORENA_D,ES_D,PAN_PRD_MC_D,PAN_PRD_D,PAN_MC_D,PRD_MC_D,PRI_PVEM_NA_D,PRI_PVEM_D,PRI_NA_D,PVEM_NA_D,PT_MORENA_ES_D,PT_MORENA_D,PT_ES_D,MORENA_ES_D,CAND_IND1_D,CAND_IND2_D,NUM_VOTOS_CAN_NREG_D,NUM_VOTOS_NULOS_D,TOTAL_VOTOS_D,LISTA_NOMINAL_D,index_D,PAN_PR,PRI_PR,PRD_PR,PVEM_PR,PT_PR,MC_PR,NA_PR,MORENA_PR,ES_PR,PAN_PRD_MC_PR,PAN_PRD_PR,PAN_MC_PR,PRD_MC_PR,PRI_PVEM_NA_PR,PRI_PVEM_PR,PRI_NA_PR,PVEM_NA_PR,PT_MORENA_ES_PR,PT_MORENA_PR,PT_ES_PR,MORENA_ES_PR,CAND_IND1_PR,CAND_IND2_PR,NUM_VOTOS_CAN_NREG_PR,NUM_VOTOS_NULOS_PR,TOTAL_VOTOS_PR,LISTA_NOMINAL_PR,index_PR
MUNICIPIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAJETE,3565.0,2520.0,777.0,728.0,1103.0,1636.0,340.0,14714.0,480.0,55.0,139.0,48.0,11.0,0.0,0.0,0.0,0.0,559.0,221.0,36.0,204.0,0.0,0.0,30.0,1363.0,28529.0,44025,21001,2944.0,2022.0,486.0,249.0,1645.0,1076.0,125.0,15743.0,580.0,84.0,124.0,55.0,8.0,39.0,61.0,9.0,1.0,966.0,314.0,46.0,280.0,7.0,650.0,2.0,949.0,28465,44025,21001
ACATENO,1354.0,871.0,148.0,434.0,219.0,120.0,124.0,1714.0,67.0,37.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,1.0,4.0,0.0,0.0,0.0,352.0,5498.0,6839,21002,1074.0,824.0,94.0,239.0,318.0,79.0,69.0,1951.0,91.0,39.0,37.0,1.0,1.0,7.0,13.0,3.0,2.0,45.0,16.0,3.0,17.0,0.0,110.0,0.0,253.0,5286,6839,21002
ACATLAN,2011.0,2444.0,502.0,693.0,704.0,239.0,1002.0,8274.0,209.0,38.0,43.0,12.0,5.0,0.0,0.0,0.0,0.0,168.0,65.0,11.0,52.0,0.0,0.0,2.0,918.0,17392.0,28104,21003,1503.0,2085.0,227.0,175.0,1104.0,92.0,621.0,10133.0,287.0,47.0,31.0,15.0,4.0,39.0,40.0,17.0,10.0,329.0,130.0,18.0,84.0,4.0,285.0,3.0,683.0,17966,28104,21003
ACATZINGO,4555.0,3871.0,668.0,636.0,947.0,443.0,263.0,10678.0,338.0,75.0,59.0,29.0,3.0,0.0,0.0,0.0,0.0,327.0,114.0,18.0,96.0,0.0,0.0,9.0,947.0,24076.0,36284,21004,2775.0,3030.0,341.0,139.0,1736.0,178.0,89.0,12663.0,512.0,70.0,50.0,25.0,3.0,19.0,50.0,9.0,1.0,735.0,282.0,40.0,169.0,2.0,696.0,0.0,671.0,24285,36284,21004
ACTEOPAN,569.0,781.0,40.0,19.0,126.0,54.0,30.0,223.0,28.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,111.0,1996.0,2289,21005,511.0,725.0,28.0,10.0,151.0,32.0,25.0,323.0,42.0,1.0,1.0,1.0,6.0,0.0,8.0,1.0,0.0,10.0,4.0,2.0,3.0,1.0,20.0,0.0,91.0,1996,2289,21005
AHUACATLAN,597.0,2866.0,782.0,338.0,359.0,472.0,134.0,1353.0,207.0,20.0,16.0,2.0,12.0,0.0,0.0,0.0,0.0,27.0,7.0,3.0,7.0,0.0,0.0,8.0,851.0,8061.0,10223,21006,581.0,2531.0,729.0,268.0,542.0,370.0,84.0,2095.0,285.0,25.0,17.0,0.0,13.0,3.0,12.0,2.0,4.0,61.0,12.0,6.0,15.0,4.0,107.0,5.0,779.0,8550,10223,21006
AHUATLAN,210.0,571.0,9.0,215.0,16.0,120.0,8.0,488.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0,1770.0,2545,21007,208.0,502.0,5.0,163.0,44.0,99.0,10.0,560.0,13.0,4.0,3.0,3.0,0.0,2.0,18.0,0.0,0.0,27.0,7.0,1.0,8.0,2.0,10.0,0.0,70.0,1759,2545,21007
AHUAZOTEPEC,486.0,629.0,63.0,92.0,150.0,452.0,188.0,1047.0,37.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,8.0,0.0,0.0,3.0,208.0,3410.0,7541,21008,390.0,477.0,24.0,34.0,280.0,261.0,72.0,1390.0,71.0,4.0,1.0,6.0,4.0,2.0,5.0,1.0,1.0,43.0,23.0,8.0,15.0,0.0,147.0,2.0,156.0,3417,7541,21008
